,ge,tc,tl,ln,dn
443,443,0.013000000000000003,0.012000000000000002,99.0,99.0
444,444,0.012,0.006999999999999999,99.0,99.0
445,445,0.01,0.005,99.0,99.0
446,446,0.008,0.004,99.0,99.0
447,447,0.01,0.005,99.0,99.0
448,448,0.013999999999999999,0.01,99.0,99.0
449,449,0.019000000000000003,0.011000000000000001,99.0,99.0
450,450,0.016,0.008,99.0,99.0
451,451,0.023000000000000003,0.004,99.0,99.0
452,452,0.019000000000000003,0.004,99.0,99.0
453,453,0.018000000000000002,0.004,99.0,99.0
454,454,0.019000000000000003,0.004,99.0,99.0
455,455,0.020000000000000004,0.004,99.0,99.0
456,456,0.019000000000000003,0.006000000000000001,99.0,99.0
457,457,0.019000000000000003,0.006000000000000001,99.0,99.0
458,458,0.024000000000000004,0.008,99.0,99.0
459,459,0.019000000000000003,0.006999999999999999,99.0,99.0
460,460,0.018000000000000002,0.008,99.0,99.0
461,461,0.012000000000000002,0.006999999999999999,99.0,99.0
462,462,0.011000000000000001,0.005,99.0,99.0
463,463,0.013000000000000001,0.009000000000000001,99.0,99.0
464,464,0.016,0.009000000000000001,99.0,99.0
465,465,0.017,0.006000000000000001,99.0,99.0
466,466,0.019000000000000003,0.004,99.0,99.0
467,467,0.02,0.005,99.0,99.0
468,468,0.02,0.005,99.0,99.0
469,469,0.019000000000000003,0.005,99.0,99.0
470,470,0.017,0.0030000000000000005,99.0,99.0
471,471,0.021000000000000005,0.001,99.0,99.0
472,472,0.025000000000000005,0.0030000000000000005,99.0,99.0
473,473,0.019000000000000003,0.006,99.0,99.0
474,474,0.020000000000000004,0.006000000000000001,99.0,99.0
475,475,0.028000000000000004,0.004,99.0,99.0
476,476,0.03,0.0030000000000000005,99.0,99.0
477,477,0.025000000000000005,0.002,99.0,99.0
478,478,0.028000000000000008,0.002,99.0,99.0
479,479,0.032,0.0030000000000000005,99.0,99.0
480,480,0.03,0.005,99.0,99.0
481,481,0.033,0.006999999999999999,99.0,99.0
482,482,0.032,0.014000000000000004,99.0,99.0
483,483,0.036,0.013000000000000003,99.0,99.0
484,484,0.038000000000000006,0.018000000000000002,99.0,99.0
485,485,0.034,0.02,99.0,99.0
486,486,0.035,0.024000000000000004,99.0,99.0
