,ge,tc,tl,tf,ln
362,362,0.594,0.022000000000000002,0.035,67.0
363,363,0.583,0.022000000000000002,0.036000000000000004,67.0
364,364,0.595,0.023,0.035,68.0
365,365,0.601,0.023,0.035,68.0
366,366,0.607,0.023,0.032,68.0
367,367,0.607,0.024,0.033,68.0
368,368,0.613,0.027000000000000003,0.039,68.0
369,369,0.617,0.028,0.042,63.0
370,370,0.613,0.030000000000000002,0.045000000000000005,61.0
371,371,0.616,0.031000000000000003,0.044000000000000004,59.0
372,372,0.614,0.033,0.044000000000000004,58.0
373,373,0.614,0.031000000000000003,0.043000000000000003,55.0
374,374,0.614,0.031000000000000003,0.04,57.0
375,375,0.613,0.031000000000000003,0.039,57.0
376,376,0.62,0.029,0.042,59.0
377,377,0.622,0.030000000000000002,0.038000000000000006,60.0
378,378,0.627,0.029,0.041,59.0
379,379,0.625,0.028,0.041,59.0
380,380,0.623,0.029,0.044000000000000004,60.0
381,381,0.623,0.030000000000000002,0.047,61.0
382,382,0.62,0.031000000000000003,0.046000000000000006,60.0
383,383,0.626,0.029,0.043000000000000003,61.0
384,384,0.624,0.031000000000000003,0.048,61.0
385,385,0.628,0.033,0.049,59.0
386,386,0.629,0.031000000000000003,0.05,57.0
387,387,0.626,0.029,0.049,58.0
388,388,0.631,0.029,0.048,60.0
389,389,0.626,0.030000000000000002,0.048,61.0
390,390,0.623,0.031000000000000003,0.042,61.0
391,391,0.624,0.031000000000000003,0.041,60.0
392,392,0.632,0.033,0.042,60.0
393,393,0.63,0.033,0.043000000000000003,57.0
394,394,0.639,0.033,0.04,57.0
395,395,0.643,0.033,0.04,58.0
396,396,0.644,0.033,0.042,58.0
397,397,0.644,0.033,0.045000000000000005,58.0
398,398,0.638,0.035,0.047,58.0
399,399,0.635,0.035,0.044000000000000004,56.0
400,400,0.629,0.036000000000000004,0.044000000000000004,56.0
401,401,0.631,0.037000000000000005,0.041,54.0
402,402,0.633,0.035,0.043000000000000003,55.0
403,403,0.629,0.035,0.041,55.0
404,404,0.632,0.036000000000000004,0.041,55.0
405,405,0.63,0.033,0.043000000000000003,55.0
406,406,0.629,0.034,0.043000000000000003,57.0
407,407,0.626,0.036000000000000004,0.043000000000000003,56.0
408,408,0.621,0.037000000000000005,0.043000000000000003,54.0
409,409,0.634,0.037000000000000005,0.041,53.0
410,410,0.636,0.036000000000000004,0.039,53.0
411,411,0.634,0.037000000000000005,0.038000000000000006,54.0
412,412,0.631,0.035,0.038000000000000006,52.0
413,413,0.637,0.035,0.037000000000000005,53.0
414,414,0.642,0.036000000000000004,0.037000000000000005,54.0
415,415,0.641,0.037000000000000005,0.037000000000000005,53.0
416,416,0.643,0.038,0.038000000000000006,52.0
417,417,0.649,0.037000000000000005,0.04,52.0
418,418,0.6589999999999999,0.037000000000000005,0.041,51.0
419,419,0.6549999999999999,0.037000000000000005,0.042,51.0
420,420,0.6609999999999999,0.04,0.042,51.0
421,421,0.6589999999999999,0.038,0.045000000000000005,49.0
422,422,0.6619999999999999,0.038,0.048,49.0
423,423,0.6629999999999999,0.039,0.049,49.0
424,424,0.6639999999999999,0.039,0.046000000000000006,48.0
425,425,0.6679999999999999,0.041,0.05,48.0
426,426,0.6609999999999999,0.042,0.05500000000000001,46.0
427,427,0.6659999999999999,0.043000000000000003,0.051000000000000004,46.0
428,428,0.6689999999999999,0.046000000000000006,0.04700000000000001,45.0
429,429,0.6769999999999999,0.048,0.048,42.0
430,430,0.6779999999999999,0.047,0.04700000000000001,41.0
431,431,0.6789999999999999,0.048,0.046000000000000006,42.0
432,432,0.6839999999999999,0.047,0.046000000000000006,42.0
433,433,0.6809999999999999,0.047,0.046000000000000006,43.0
434,434,0.6869999999999999,0.049,0.045000000000000005,43.0
435,435,0.688,0.049,0.044000000000000004,42.0
436,436,0.6859999999999999,0.047,0.045000000000000005,43.0
437,437,0.688,0.045000000000000005,0.045000000000000005,44.0
438,438,0.688,0.045000000000000005,0.045000000000000005,45.0
439,439,0.6809999999999999,0.044000000000000004,0.04700000000000001,44.0
440,440,0.6839999999999999,0.044000000000000004,0.049,44.0
441,441,0.6789999999999999,0.045000000000000005,0.046000000000000006,44.0
442,442,0.6749999999999999,0.044000000000000004,0.045000000000000005,45.0
443,443,0.6729999999999999,0.044000000000000004,0.045000000000000005,46.0
444,444,0.6749999999999999,0.045000000000000005,0.045000000000000005,46.0
445,445,0.6719999999999999,0.044000000000000004,0.043000000000000003,46.0
446,446,0.6759999999999999,0.042,0.043000000000000003,46.0
447,447,0.6769999999999999,0.042,0.043000000000000003,47.0
448,448,0.6819999999999999,0.042,0.043000000000000003,47.0
449,449,0.6799999999999999,0.044000000000000004,0.044000000000000004,47.0
450,450,0.6819999999999999,0.044000000000000004,0.044000000000000004,45.0
451,451,0.6859999999999999,0.043000000000000003,0.044000000000000004,45.0
452,452,0.6819999999999999,0.043000000000000003,0.045000000000000005,46.0
453,453,0.6839999999999999,0.044000000000000004,0.048,45.0
454,454,0.6819999999999999,0.044000000000000004,0.04700000000000001,44.0
455,455,0.6819999999999999,0.045000000000000005,0.05,44.0
456,456,0.6779999999999999,0.046000000000000006,0.051000000000000004,42.0
457,457,0.6769999999999999,0.047,0.049,42.0
458,458,0.6769999999999999,0.047,0.052000000000000005,41.0
459,459,0.6749999999999999,0.046000000000000006,0.049,41.0
460,460,0.6779999999999999,0.046000000000000006,0.049,42.0
461,461,0.6839999999999999,0.046000000000000006,0.048,42.0
462,462,0.6869999999999999,0.047,0.048,41.0
463,463,0.6829999999999999,0.046000000000000006,0.048,40.0
464,464,0.6769999999999999,0.045000000000000005,0.04700000000000001,41.0
465,465,0.6759999999999999,0.045000000000000005,0.04700000000000001,41.0
466,466,0.6749999999999999,0.046000000000000006,0.046000000000000006,41.0
467,467,0.6759999999999999,0.045000000000000005,0.046000000000000006,42.0
468,468,0.6759999999999999,0.045000000000000005,0.046000000000000006,42.0
469,469,0.6749999999999999,0.044000000000000004,0.04700000000000001,42.0
470,470,0.6779999999999999,0.046000000000000006,0.048,42.0
471,471,0.6769999999999999,0.047,0.04700000000000001,42.0
472,472,0.6799999999999999,0.046000000000000006,0.04700000000000001,41.0
473,473,0.6829999999999999,0.044000000000000004,0.048,42.0
474,474,0.6839999999999999,0.043000000000000003,0.04700000000000001,43.0
475,475,0.6819999999999999,0.042,0.046000000000000006,44.0
476,476,0.689,0.042,0.045000000000000005,45.0
477,477,0.6849999999999999,0.042,0.045000000000000005,46.0
478,478,0.692,0.043000000000000003,0.044000000000000004,46.0
479,479,0.694,0.043000000000000003,0.043000000000000003,47.0
480,480,0.695,0.044000000000000004,0.044000000000000004,47.0
481,481,0.692,0.045000000000000005,0.044000000000000004,46.0
482,482,0.69,0.043000000000000003,0.044000000000000004,45.0
483,483,0.692,0.04,0.046000000000000006,45.0
484,484,0.689,0.04,0.049,47.0
485,485,0.689,0.039,0.048,47.0
486,486,0.69,0.039,0.04700000000000001,48.0
487,487,0.69,0.039,0.045000000000000005,49.0
488,488,0.69,0.039,0.044000000000000004,49.0
489,489,0.6849999999999999,0.039,0.044000000000000004,49.0
490,490,0.6809999999999999,0.039,0.043000000000000003,49.0
491,491,0.6799999999999999,0.04,0.045000000000000005,49.0
492,492,0.6809999999999999,0.04,0.045000000000000005,48.0
493,493,0.688,0.04,0.046000000000000006,46.0
494,494,0.691,0.04,0.046000000000000006,46.0
495,495,0.6809999999999999,0.042,0.04700000000000001,46.0
496,496,0.6839999999999999,0.043000000000000003,0.046000000000000006,44.0
