,ge,tc,tf,ln,dn
261,261,0.08599999999999998,0.127,99.0,99.0
262,262,0.09300000000000001,0.13,99.0,99.0
263,263,0.095,0.13399999999999998,99.0,99.0
264,264,0.08399999999999999,0.13,99.0,99.0
265,265,0.08199999999999999,0.127,99.0,99.0
266,266,0.092,0.13499999999999998,99.0,99.0
267,267,0.091,0.131,99.0,99.0
268,268,0.09899999999999999,0.135,99.0,99.0
269,269,0.09599999999999997,0.141,99.0,99.0
270,270,0.103,0.141,99.0,99.0
271,271,0.09599999999999997,0.15,99.0,99.0
272,272,0.09299999999999999,0.13999999999999999,99.0,99.0
273,273,0.1,0.147,99.0,99.0
274,274,0.091,0.142,99.0,99.0
275,275,0.08599999999999998,0.14300000000000002,99.0,99.0
276,276,0.07599999999999998,0.135,99.0,99.0
277,277,0.08199999999999998,0.138,99.0,99.0
278,278,0.09599999999999997,0.13699999999999998,99.0,99.0
279,279,0.095,0.13699999999999998,99.0,99.0
280,280,0.09499999999999999,0.14,99.0,99.0
281,281,0.09799999999999998,0.139,99.0,99.0
282,282,0.11199999999999999,0.14,99.0,99.0
283,283,0.12399999999999999,0.13199999999999998,99.0,99.0
284,284,0.12599999999999997,0.12999999999999998,99.0,99.0
285,285,0.11499999999999998,0.12599999999999997,99.0,99.0
286,286,0.10399999999999998,0.12999999999999998,99.0,99.0
287,287,0.09699999999999996,0.128,99.0,99.0
288,288,0.10099999999999998,0.11499999999999998,99.0,99.0
289,289,0.09499999999999999,0.106,99.0,99.0
290,290,0.09799999999999999,0.106,99.0,99.0
291,291,0.09699999999999998,0.11199999999999997,99.0,99.0
292,292,0.09299999999999999,0.115,99.0,99.0
293,293,0.085,0.11599999999999999,99.0,99.0
294,294,0.09399999999999999,0.115,99.0,99.0
295,295,0.09800000000000003,0.10899999999999999,99.0,99.0
296,296,0.09,0.106,99.0,99.0
297,297,0.09200000000000001,0.11,99.0,99.0
298,298,0.09300000000000001,0.10799999999999998,99.0,99.0
299,299,0.086,0.107,99.0,99.0
300,300,0.08800000000000002,0.109,99.0,99.0
301,301,0.083,0.11199999999999999,99.0,99.0
302,302,0.07500000000000001,0.11900000000000001,99.0,99.0
303,303,0.07600000000000001,0.115,99.0,99.0
304,304,0.069,0.11599999999999998,99.0,99.0
305,305,0.065,0.11999999999999998,99.0,99.0
306,306,0.05,0.11299999999999999,99.0,99.0
307,307,0.051000000000000004,0.11299999999999999,99.0,99.0
308,308,0.052000000000000005,0.121,99.0,99.0
309,309,0.057999999999999996,0.129,99.0,99.0
310,310,0.05499999999999999,0.127,99.0,99.0
311,311,0.04800000000000001,0.13399999999999998,99.0,99.0
312,312,0.031000000000000007,0.132,99.0,99.0
313,313,0.028999999999999998,0.12899999999999998,99.0,99.0
314,314,0.032,0.125,99.0,99.0
315,315,0.033,0.12999999999999998,99.0,99.0
316,316,0.040999999999999995,0.13299999999999998,99.0,99.0
317,317,0.04,0.135,99.0,99.0
318,318,0.033,0.133,99.0,99.0
319,319,0.036000000000000004,0.14300000000000002,99.0,99.0
320,320,0.042,0.141,99.0,99.0
321,321,0.046,0.142,99.0,99.0
322,322,0.042,0.13699999999999998,99.0,99.0
323,323,0.042,0.133,99.0,99.0
324,324,0.040999999999999995,0.131,99.0,99.0
325,325,0.04,0.12899999999999998,99.0,99.0
326,326,0.041999999999999996,0.127,99.0,99.0
327,327,0.037000000000000005,0.12899999999999998,99.0,99.0
328,328,0.037000000000000005,0.12699999999999997,99.0,99.0
329,329,0.033,0.132,99.0,99.0
330,330,0.025,0.13299999999999998,99.0,99.0
331,331,0.017,0.131,99.0,99.0
332,332,0.022000000000000002,0.13299999999999998,99.0,99.0
333,333,0.025,0.132,99.0,99.0
334,334,0.027000000000000003,0.134,99.0,99.0
335,335,0.028999999999999998,0.14400000000000002,99.0,99.0
336,336,0.035,0.14400000000000002,99.0,99.0
337,337,0.032,0.141,99.0,99.0
338,338,0.030000000000000006,0.142,99.0,99.0
339,339,0.032,0.136,99.0,99.0
340,340,0.030000000000000006,0.136,99.0,99.0
341,341,0.027000000000000007,0.13799999999999998,99.0,99.0
342,342,0.033,0.13899999999999998,99.0,99.0
343,343,0.034,0.13999999999999999,99.0,99.0
344,344,0.03,0.144,99.0,99.0
345,345,0.038,0.142,99.0,99.0
346,346,0.039,0.147,99.0,99.0
347,347,0.042,0.14699999999999996,99.0,99.0
348,348,0.051000000000000004,0.149,99.0,99.0
349,349,0.057,0.14699999999999996,99.0,99.0
350,350,0.06000000000000001,0.13699999999999998,99.0,99.0
351,351,0.061000000000000006,0.132,99.0,99.0
352,352,0.05799999999999999,0.135,99.0,99.0
353,353,0.055999999999999994,0.129,99.0,99.0
354,354,0.046000000000000006,0.13299999999999998,99.0,99.0
355,355,0.057999999999999996,0.13399999999999998,99.0,99.0
356,356,0.057,0.13299999999999998,99.0,99.0
357,357,0.055,0.13199999999999998,99.0,99.0
358,358,0.05399999999999999,0.138,99.0,99.0
359,359,0.055,0.135,99.0,99.0
360,360,0.05299999999999999,0.131,99.0,99.0
361,361,0.053,0.12499999999999999,99.0,99.0
362,362,0.043,0.132,99.0,99.0
363,363,0.046,0.134,99.0,99.0
364,364,0.04299999999999999,0.128,99.0,99.0
365,365,0.044,0.12399999999999999,99.0,99.0
366,366,0.06199999999999999,0.115,99.0,99.0
367,367,0.06199999999999999,0.11699999999999999,99.0,99.0
368,368,0.05799999999999999,0.11599999999999999,99.0,99.0
369,369,0.05399999999999999,0.128,99.0,99.0
370,370,0.057999999999999996,0.128,99.0,99.0
371,371,0.06199999999999999,0.128,99.0,99.0
372,372,0.06,0.12999999999999998,99.0,99.0
373,373,0.061,0.13999999999999999,99.0,99.0
374,374,0.048999999999999995,0.135,99.0,99.0
375,375,0.045,0.135,99.0,99.0
376,376,0.04500000000000001,0.136,99.0,99.0
377,377,0.048999999999999995,0.13699999999999998,99.0,99.0
378,378,0.05199999999999999,0.14100000000000001,99.0,99.0
379,379,0.048999999999999995,0.146,99.0,99.0
380,380,0.051,0.146,99.0,99.0
381,381,0.04699999999999999,0.13899999999999998,99.0,99.0
382,382,0.04,0.141,99.0,99.0
383,383,0.034,0.138,99.0,99.0
384,384,0.032,0.14,99.0,99.0
385,385,0.038,0.142,99.0,99.0
386,386,0.032,0.141,99.0,99.0
387,387,0.029000000000000005,0.141,99.0,99.0
388,388,0.032,0.13699999999999998,99.0,99.0
389,389,0.035,0.13499999999999998,99.0,99.0
390,390,0.040999999999999995,0.139,99.0,99.0
391,391,0.044000000000000004,0.136,99.0,99.0
392,392,0.046000000000000006,0.134,99.0,99.0
393,393,0.04100000000000001,0.139,99.0,99.0
394,394,0.039999999999999994,0.14,99.0,99.0
395,395,0.033,0.142,99.0,99.0
396,396,0.033,0.132,99.0,99.0
397,397,0.029000000000000005,0.12999999999999998,99.0,99.0
398,398,0.026000000000000002,0.13099999999999998,99.0,99.0
399,399,0.02,0.13699999999999998,99.0,99.0
400,400,0.014000000000000004,0.13399999999999998,99.0,99.0
401,401,0.014000000000000002,0.132,99.0,99.0
402,402,0.015000000000000003,0.12299999999999998,99.0,99.0
403,403,0.013000000000000001,0.11599999999999998,99.0,99.0
404,404,0.014000000000000002,0.10999999999999999,99.0,99.0
405,405,0.012000000000000002,0.11900000000000001,99.0,99.0
406,406,0.004,0.11499999999999996,99.0,99.0
