,ge,tc,tf,ln
418,418,0.2710000000000001,0.20100000000000004,3.8
419,419,0.272,0.20100000000000004,3.8
420,420,0.274,0.203,4.2
421,421,0.274,0.203,3.8
422,422,0.2740000000000001,0.203,3.8
423,423,0.274,0.203,3.8
424,424,0.273,0.20400000000000001,3.8
425,425,0.2720000000000001,0.20400000000000001,3.8
426,426,0.2720000000000001,0.20400000000000001,3.8
427,427,0.2710000000000001,0.20500000000000004,3.8
428,428,0.2710000000000001,0.20500000000000004,3.8
429,429,0.2710000000000001,0.20500000000000004,3.8
430,430,0.2710000000000001,0.20500000000000004,3.8
431,431,0.2710000000000001,0.20500000000000004,3.8
432,432,0.27,0.20400000000000001,3.8
433,433,0.268,0.20400000000000007,3.8
434,434,0.268,0.20400000000000007,3.42
435,435,0.2690000000000001,0.20500000000000004,3.42
436,436,0.27,0.20400000000000001,3.06
437,437,0.27,0.20400000000000001,3.06
438,438,0.27,0.20200000000000004,3.06
439,439,0.2690000000000001,0.20100000000000004,3.06
440,440,0.26800000000000007,0.20200000000000004,3.06
441,441,0.26800000000000007,0.20200000000000004,3.06
442,442,0.26700000000000007,0.20300000000000004,3.06
443,443,0.26600000000000007,0.20200000000000004,3.06
444,444,0.265,0.20100000000000004,3.06
445,445,0.265,0.20100000000000004,3.06
446,446,0.265,0.20100000000000004,3.06
447,447,0.265,0.20100000000000004,3.06
448,448,0.265,0.20300000000000004,3.06
449,449,0.26600000000000007,0.20400000000000001,2.72
450,450,0.265,0.20300000000000004,2.72
451,451,0.265,0.20300000000000004,2.72
452,452,0.265,0.20300000000000004,2.72
453,453,0.265,0.20300000000000004,2.72
454,454,0.265,0.20300000000000004,2.72
455,455,0.265,0.20300000000000004,2.72
456,456,0.265,0.20300000000000004,2.72
457,457,0.26600000000000007,0.20200000000000007,2.72
458,458,0.26600000000000007,0.20200000000000007,3.06
459,459,0.265,0.20300000000000007,3.06
460,460,0.264,0.20400000000000001,2.72
461,461,0.264,0.20400000000000001,2.72
462,462,0.26600000000000007,0.20400000000000001,2.72
463,463,0.265,0.20500000000000004,2.72
464,464,0.267,0.20500000000000004,3.06
465,465,0.275,0.20500000000000004,3.42
466,466,0.273,0.20700000000000007,3.42
467,467,0.2720000000000001,0.20800000000000005,3.42
468,468,0.268,0.20900000000000002,3.42
469,469,0.272,0.20800000000000005,3.8
470,470,0.274,0.20800000000000005,4.2
471,471,0.274,0.20800000000000005,4.2
472,472,0.274,0.20800000000000005,4.2
473,473,0.275,0.20900000000000005,4.2
474,474,0.276,0.20700000000000007,4.2
475,475,0.279,0.20700000000000007,4.2
476,476,0.276,0.20900000000000005,4.2
477,477,0.264,0.20900000000000005,4.2
478,478,0.268,0.21100000000000005,4.2
479,479,0.265,0.21100000000000005,4.2
480,480,0.264,0.21200000000000008,4.2
481,481,0.267,0.21200000000000008,4.2
482,482,0.28200000000000003,0.21400000000000002,4.2
483,483,0.28200000000000003,0.21400000000000002,4.2
