,ge,tc,tl,ln,dn
267,267,0.043,0.007000000000000001,99.0,0.0
268,268,0.04,0.002,99.0,0.0
269,269,0.036000000000000004,0.0030000000000000005,99.0,0.0
270,270,0.035,0.002,99.0,0.0
271,271,0.05099999999999999,0.0030000000000000005,99.0,0.0
272,272,0.05499999999999999,0.0030000000000000005,99.0,0.0
273,273,0.056999999999999995,0.006000000000000001,99.0,0.0
274,274,0.06599999999999999,0.006,99.0,0.0
275,275,0.06899999999999999,0.006,99.0,0.0
276,276,0.066,0.007000000000000001,99.0,0.0
277,277,0.061,0.008,99.0,0.0
278,278,0.056999999999999995,0.006999999999999999,99.0,0.0
279,279,0.05299999999999999,0.006,99.0,0.0
280,280,0.05499999999999999,0.009000000000000001,99.0,0.0
281,281,0.05499999999999999,0.007000000000000001,99.0,0.0
282,282,0.05799999999999999,0.01,99.0,0.0
283,283,0.053999999999999986,0.009000000000000001,99.0,0.0
284,284,0.038000000000000006,0.006000000000000001,99.0,0.0
285,285,0.033,0.008,99.0,0.0
286,286,0.033,0.01,99.0,0.0
287,287,0.038,0.012000000000000002,99.0,0.0
288,288,0.031000000000000007,0.01,99.0,0.0
289,289,0.04,0.008,99.0,0.0
290,290,0.043,0.006000000000000001,99.0,0.0
291,291,0.040999999999999995,0.01,99.0,0.0
292,292,0.037000000000000005,0.01,99.0,0.0
293,293,0.034,0.013000000000000003,99.0,0.0
294,294,0.049,0.015,99.0,0.0
295,295,0.041999999999999996,0.021,99.0,0.0
296,296,0.036000000000000004,0.016,99.0,0.0
297,297,0.037000000000000005,0.018000000000000002,99.0,0.0
298,298,0.030000000000000006,0.022000000000000002,99.0,0.0
299,299,0.026000000000000002,0.016000000000000004,99.0,0.0
300,300,0.031000000000000007,0.021,99.0,0.0
301,301,0.029000000000000005,0.018,99.0,0.0
302,302,0.029000000000000005,0.017,99.0,0.0
303,303,0.03900000000000001,0.009000000000000001,99.0,0.0
304,304,0.035,0.014000000000000002,99.0,0.0
305,305,0.034,0.018000000000000002,99.0,0.0
306,306,0.03300000000000001,0.011000000000000001,99.0,0.0
307,307,0.037000000000000005,0.015000000000000005,99.0,0.0
308,308,0.040999999999999995,0.015000000000000003,99.0,0.0
309,309,0.04299999999999999,0.013000000000000003,99.0,0.0
310,310,0.044,0.016000000000000004,99.0,0.0
311,311,0.041999999999999996,0.01,99.0,0.0
312,312,0.035,0.009000000000000001,99.0,0.0
313,313,0.031000000000000007,0.006000000000000001,99.0,0.0
314,314,0.031,0.009000000000000001,99.0,0.0
315,315,0.032,0.006999999999999999,99.0,0.0
316,316,0.039,0.005,99.0,0.0
317,317,0.035,0.006000000000000001,99.0,0.0
318,318,0.04,0.005,99.0,0.0
319,319,0.036000000000000004,0.004,99.0,0.0
320,320,0.033,0.002,99.0,0.0
321,321,0.028000000000000004,0.005,99.0,0.0
322,322,0.024000000000000004,0.008,99.0,0.0
323,323,0.022000000000000002,0.006999999999999999,99.0,0.0
324,324,0.015,0.009000000000000001,99.0,0.0
325,325,0.017,0.008,99.0,0.0
326,326,0.02,0.009000000000000001,99.0,0.0
327,327,0.018000000000000002,0.017,99.0,0.0
328,328,0.016,0.015,99.0,0.0
329,329,0.014000000000000002,0.013000000000000001,99.0,0.0
330,330,0.011000000000000001,0.014000000000000002,99.0,0.0
331,331,0.012000000000000002,0.015000000000000003,99.0,0.0
332,332,0.009000000000000001,0.021,99.0,0.0
333,333,0.008,0.021,99.0,0.0
334,334,0.004,0.024,99.0,0.0
335,335,0.005,0.03,99.0,0.0
336,336,0.008,0.033,99.0,0.0
337,337,0.01,0.03200000000000001,99.0,0.0
338,338,0.012,0.033,99.0,0.0
339,339,0.01,0.023000000000000003,99.0,0.0
340,340,0.01,0.028000000000000004,99.0,0.0
341,341,0.016,0.028999999999999998,99.0,0.0
342,342,0.02,0.033,99.0,0.0
343,343,0.021,0.034,99.0,0.0
344,344,0.023000000000000003,0.026000000000000002,99.0,0.0
345,345,0.024000000000000004,0.019,99.0,0.0
346,346,0.023000000000000003,0.02,99.0,0.0
347,347,0.019,0.02,99.0,0.0
348,348,0.024,0.021,99.0,0.0
349,349,0.028000000000000008,0.02,99.0,0.0
350,350,0.026000000000000002,0.020000000000000004,99.0,0.0
351,351,0.027000000000000003,0.017,99.0,0.0
352,352,0.028000000000000004,0.021,99.0,0.0
353,353,0.019000000000000003,0.022000000000000002,99.0,0.0
354,354,0.02,0.027000000000000003,99.0,0.0
355,355,0.023000000000000003,0.024,99.0,0.0
356,356,0.023000000000000003,0.023000000000000003,99.0,0.0
357,357,0.018000000000000002,0.023000000000000003,99.0,0.0
358,358,0.024000000000000004,0.026000000000000006,99.0,0.0
359,359,0.022000000000000002,0.021,99.0,0.0
360,360,0.023000000000000003,0.018000000000000002,99.0,0.0
361,361,0.023000000000000003,0.026000000000000006,99.0,0.0
362,362,0.022000000000000002,0.026000000000000006,99.0,0.0
363,363,0.023,0.030000000000000006,99.0,0.0
364,364,0.02,0.031,99.0,0.0
365,365,0.016,0.032,99.0,0.0
366,366,0.017,0.032,99.0,0.0
367,367,0.019000000000000003,0.031,99.0,0.0
368,368,0.019000000000000003,0.021,99.0,0.0
369,369,0.016,0.023000000000000003,99.0,0.0
370,370,0.019000000000000003,0.019000000000000003,99.0,0.0
371,371,0.018000000000000002,0.016,99.0,0.0
372,372,0.019000000000000003,0.012000000000000002,99.0,0.0
373,373,0.017,0.015,99.0,0.0
374,374,0.017,0.015,99.0,0.0
375,375,0.02,0.014000000000000002,99.0,0.0
376,376,0.017,0.012000000000000002,99.0,0.0
377,377,0.021000000000000005,0.012000000000000002,99.0,0.0
378,378,0.016,0.013000000000000001,99.0,0.0
379,379,0.016,0.022000000000000002,99.0,0.0
380,380,0.024000000000000004,0.025,99.0,0.0
381,381,0.028999999999999998,0.026000000000000002,99.0,0.0
382,382,0.028000000000000008,0.030000000000000006,99.0,0.0
383,383,0.027999999999999997,0.031000000000000007,99.0,0.0
384,384,0.025000000000000005,0.034,99.0,0.0
385,385,0.027000000000000003,0.033,99.0,0.0
386,386,0.029000000000000005,0.038000000000000006,99.0,0.0
387,387,0.03,0.04699999999999999,99.0,0.0
388,388,0.026000000000000002,0.044,99.0,0.0
389,389,0.025,0.03900000000000001,99.0,0.0
390,390,0.019,0.04499999999999999,99.0,0.0
391,391,0.019,0.048,99.0,0.0
392,392,0.013000000000000003,0.045,99.0,0.0
393,393,0.012,0.036000000000000004,99.0,0.0
394,394,0.01,0.034,99.0,0.0
395,395,0.013999999999999999,0.027000000000000003,99.0,0.0
396,396,0.017,0.033,99.0,0.0
397,397,0.025000000000000005,0.046,99.0,0.0
